index,cookTime,datePublished,description,image,ingredients,name,prepTime,recipeYield,url,total_time,difficulty
352,PT,2009-08-13,"I dropped by the Lodge yesterday afternoon and discovered, to both my horror and excitement, that our friend Dave from Indian...",http://static.thepioneerwoman.com/cooking/files/2009/08/ree_66701.jpg,"4 ears Sweet Corn 2 whole Very Firm Avocados, Diced  1/2 Red Onion, Diced  1/2 Jalapeno, Seeded And Finely Diced  1/2 Hot Chili Pepper, Seeded And Finely Diced 1 whole Juice Of Lime  Plenty Of Chopped Cilantro  Salt To Taste 1 Tablespoon Vinegar 1 teaspoon Sugar (optional)",Fresh Corn and Avocado Salsa,PT25M,10,http://thepioneerwoman.com/cooking/2009/08/fresh-corn-avocado-salsa/,1500.0,Medium
370,PT30M,2009-11-09,"I'm happy to share my method for making creamy, dreamy, delicious, nutritious, yummy, nummy white chicken enchiladas.    They...",http://static.thepioneerwoman.com/cooking/files/2010/07/4060528829_67db52b435.jpg,"2-1/2 cups Cooked, Shredded Chicken 2 cups Reserved Broth From Chicken 3 Tablespoons Canola Oil 12 whole Corn Tortillas 1 whole Large Onion, Diced 3 whole 4 Oz Cans Whole Green Chilies, Diced 1 whole Jalapeno, Seeded And Finely Diced 1 teaspoon Paprika 1/2 cup Heavy Cream 2 Tablespoons Butter 2 Tablespoons Flour 1 cup Sour Cream 2-1/2 cups Monterey Jack Cheese, Grated  Salt And Pepper, to taste  Picante Sauce (optional)  Cilantro, Chopped",White Chicken Enchiladas,PT45M,6,http://thepioneerwoman.com/cooking/2009/11/white-chicken-enchiladas/,4500.0,Hard
371,PT15M,2009-11-11,I serve this rice with my White Chicken Enchiladas and they really are the perfect complement. It's a very basic Mexican rice...,http://static.thepioneerwoman.com/cooking/files/2010/07/4021656171_abe77dc608.jpg,"2 Tablespoons Canola Oil 1/2 whole Large Onion, Chopped 2 cups Long Grain Rice 3 cloves Garlic, Minced 1 can Rotel Diced Green Chilies And Tomatoes (10 Ounce Can) 1 can Whole Tomatoes (14.5 Ounce Can) 2 cups Low Sodium Chicken Broth (more If Needed) 1 teaspoon Cumin (more To Taste) 1 teaspoon Kosher Salt  Fresh Cilantro, Chopped",Good Ol’ Basic Mexican Rice,PT10M,6,http://thepioneerwoman.com/cooking/2009/11/good-ol-basic-mexican-rice/,1500.0,Medium
372,PT45M,2009-11-12,This dish ain't fancy.     This dish ain't difficult to make. (Huh. Understatement of the modern era.)    This dish...ain't n...,http://static.thepioneerwoman.com/cooking/files/2010/07/4098250665_65310ab692.jpg,"8 whole Roasted, Peeled, And Seeded Green Chiles 1-1/2 cup Monterey Jack Cheese, Grated 5 whole Large Eggs 2 cups Whole Milk  Salt And Black Pepper To Taste 1/2 teaspoon Paprika 1/4 teaspoon Cayenne Pepper",Lazy Chiles Rellenos,PT5M,9,http://thepioneerwoman.com/cooking/2009/11/lazy-chiles-rellenos/,3000.0,Medium
394,PT2H,2010-01-04,"I love white chili. And just like regular chili, there are as many incarnations as there are grains of sand in all the beache...",http://static.thepioneerwoman.com/cooking/files/2010/07/4243109382_1a797f44d2.jpg,"1 whole Fryer Chicken, Cut Up (or 3 Cups Cooked Chicken) 1 whole Medium Onion, Diced 4 cloves Garlic, Minced 2 whole Cans Green Chilies, Chopped 1 pound Dried Great Northern Beans, Rinsed 8 cups Chicken Broth 1 whole Jalapeno, Sliced 1-1/2 Tablespoon Ground Cumin 1/2 teaspoon Paprika 1/2 teaspoon Cayenne Pepper  Salt To Taste  White Pepper, To Taste 1 cup Whole Milk 2 Tablespoons Masa (corn Flour) OR Cornmeal  Grated Monterey Jack, To Taste  Sour Cream For Garnish  Cilantro For Garnish  Guacamole (optional)  Pico De Gallo (optional)  Corn Tortillas, Warmed",White Chili,PT25M,8,http://thepioneerwoman.com/cooking/2010/01/simple-hearty-white-chili/,8700.0,Hard
397,PT20M,2008-09-15,"Okay, people. Let's get down to business here. Let's make enchiladas!     Did you know that in addition to having an imaginar...",http://static.thepioneerwoman.com/cooking/files/2008/09/Enchiladas.jpg," FOR THE SAUCE: 1 Tablespoon Canola Oil 1 Tablespoon All-purpose Flour 1 can (28 Ounce) Enchilada Or Red Sauce 2 cups Chicken Broth 1/2 teaspoon Salt 1/2 teaspoon Ground Black Pepper 2 Tablespoons Chopped Cilantro  _____  FOR THE MEAT: 1-1/2 pound Ground Beef 1 whole Medium Onion, Finely Diced 2 cans (4 Ounce) Diced Green Chilies 1/2 teaspoon Salt  _____  FOR THE TORTILLAS: 10 whole (to 14) Corn Tortillas 1/2 cup Canola Oil  _____  TO ASSEMBLE: 3 cups Grated Sharp Cheddar Cheese 1/2 cup Chopped Black Olives 1 cup Chopped Green Onions 1/2 cup Chopped Cilantro",Enchiladas,PT1H30M,6,http://thepioneerwoman.com/cooking/2008/09/simple-perfect-enchiladas/,6600.0,Hard
424,PT,2009-01-30,"    It's the exact same Mexican Layer Dip I grew up eating in the eighties, with the exception of these modifications:    1. ...",http://static.thepioneerwoman.com/cooking/files/2010/07/3240212440_df1959a301.jpg,"1 can Refried Beans  Tabasco Sauce, To Taste 1 can Diced Green Chilies  Ground Cumin, to taste 3/4 cups Grated Sharp Cheddar Cheese 1 cup Sour Cream 1 cup Guacamole 3/4 cups Monterey Jack Cheese 1 can Black Olives 1 cup Pico De Gallo",Mexican Layer Dip,PT15M,8,http://thepioneerwoman.com/cooking/2009/01/mexican-layer-dip/,900.0,Medium
452,PT5M,2008-01-15,"    There are few things more exciting, culinarily speaking, than slaving away over a dish for hours, then finding a way to u...",http://static.thepioneerwoman.com/cooking/files/2010/07/2189916287_31398ea690.jpg, Beef Brisket Leftovers 1 package Small Corn Tortillas 1 can (about 16 Oz.) Refried Beans 1 can (about 8 Oz.) Hot Tomato Sauce Or Chili Sauce (optional)  Pico De Gallo  Shredded Cheese  Lettuce  Sour Cream 1 whole Avocado  Vegetable Oil,Leftover Brisket Tostadas,PT15M,6,http://thepioneerwoman.com/cooking/2008/01/leftover_brisket_make_tostadas/,1200.0,Medium
464,PT35M,2008-08-14,"Hello PW peeps. It's Ryan, and I'm so excited to share this recipe with you because this has truly been the go-to meal of the...",http://static.thepioneerwoman.com/cooking/files/2008/08/Delicious-Mexican-Lasagna.jpg,"4 cups Unprepared Rice 6 cups (to 8 Cups) Low Sodium Chicken Broth/stock 4 whole (to 8) Tomatoes (up To You) 2 whole (to 3) Onions (up To You) 8 cloves (to 14 Cloves) Of Garlic (up To You)  Butter  Taco Seasoning (or Chili Powder, Paprika, And Cumin) To Taste 1 can (to 2 Cans) Black Or Pinto Beans (up To You) 3 pounds Lean Ground Beef 2 jars (16 Ounce) Salsa Verde  Flour Tortillas 3 packages (16 Ounces) Mexican Cheese Blend 1 jar (16 Ounce) Enchilada Sauce 3 cans Corn, Drained  Sour Cream, to taste  Cilantro, to taste",Cooking With Pastor Ryan: Delicious Mexican Lasagna,PT45M,8,http://thepioneerwoman.com/cooking/2008/08/cooking-with-pastor-ryan-delicious-mexican-lasagna/,4800.0,Hard
490,PT4H,2008-08-06,"   Oh my goodness, am I ever in love with pork shoulder. Wait a minute...did I just say that? That I'm in love with pork...",http://static.thepioneerwoman.com/cooking/files/2008/08/Spicy-Shredded-Pork.jpg,4 pounds (up To 7 Pounds) Pork Shoulder 1 teaspoon Dried Oregano 1 teaspoon Ground Cumin 1 teaspoon Chili Powder 1 Tablespoon (to 2 Tablespoons) Salt  Pepper To Taste 3 cloves (to 4 Cloves) Garlic 1 Tablespoon (to 2 Tablespoons) Olive Oil 2 Tablespoons (to 3 Tablespoons) White Wine Vinegar 1/4 cup Brown Sugar 1 whole Onion  Lime Wedges,Spicy Shredded Pork,PT20M,8,http://thepioneerwoman.com/cooking/2008/08/spicy-shredded-pork/,15600.0,Hard
501,PT15M,2013-01-31,"I made these tacos before my family and I left for our trip to Colorado, and we devoured every bite. They're pretty much the ...",http://static.thepioneerwoman.com/cooking/files/2013/01/tacos.jpg,"16 whole Taco Shells 2 pounds Ground Beef 3 Tablespoons Taco Seasoning 1 can (4 Ounce) Tomato Paste  Salt To Taste 1 can (14.5 Ounce) Beans (kidney, Pinto, Chili), Undrained 1/2 cup Hot Water 1 head Green Leaf Lettuce, Sliced Very Thin 1 cup Grape Tomatoes, Halved (or Diced Regular Tomatoes) 1 cup Grated Cheese (cheddar, Jack, Or Cheddar/jack)  FOR THE DRESSING: 1/4 cup Mayonnaise 1/4 cup Sour Cream 1/4 cup Salsa 1 Tablespoon Ranch Dressing Mix (optional)  Extra Hot Sauce (optional)  Crushed Tortilla Chips (optional)",Salad Tacos,PT10M,8,http://thepioneerwoman.com/cooking/2013/01/salad-tacos/,1500.0,Medium
506,PT10M,2013-02-12,"I made these yummy, crunchy, flavorful wraps after church last Sunday for the following reasons:    1. I was alone in the hou...",http://static.thepioneerwoman.com/cooking/files/2013/02/wraps.jpg,"2 whole Boneless, Skinless Chicken Breasts (breast Halves)  OPTION 1 MARINADE/SAUCE 1 Tablespoon Rice Wine Vinegar 1/4 cup Soy Sauce 1 teaspoon Pure Sesame Oil 1 teaspoon Hot Chili Oil  Juice Of 2 Limes 1 Tablespoon Minced Fresh Ginger 2 Tablespoons Brown Sugar (optional) 1 teaspoon Cornstarch 2 Tablespoons Honey (or Brown Sugar)  Peanut Or Canola Oil For Frying  Peanut Sauce 1/2 cup Peanut Butter (crunch/chunky Is Good!) 3 Tablespoons Soy Sauce 3 Tablespoons Honey 1/2 teaspoon Hot Chili Oil 1 teaspoon Crushed Red Pepper  Juice Of 2 Limes  Water, As Needed For Thinning  Wraps 2 whole Whole-wheat Tortillas  Green Leaf Or Other Lettuce, Leaves Left Whole Or Shredded 1 whole Large Carrot, Cut Into Thin Strips Or Julienne 1/2 whole Cucumber, Seeds Scraped Out, Cut Into Strips  Cilantro Leaves  Shelled Peanuts  Optional Additions:  Bean Sprouts  Alfalfa Sprouts  Baby Spinach Leaves  Thinly Sliced Red Onion  Sliced Green Onion  Blanched Asparagus  Salt And Pepper, to taste  Sriracha",Thai Chicken Wraps,PT20M,2,http://thepioneerwoman.com/cooking/2013/02/thai-chicken-wraps/,1800.0,Medium
